"Find companies","Created At","Updated At","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Update People Search (Find people Table) - 2025-07-25T09:00:16.081Z","Send table data","Send table data (2)","Send table data (3)","Send table data (4)","Send table data (5)"
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:39.586Z","Twinmotion","Twinmotion is a real-time visualization tool powered by Unreal Engine that enables anyone—from architects, urban planners, and landscaping professionals, to designers working on consumer products, transportation, or even fashion, and beyond—to quickly and easily produce high-quality images, panoramas, standard or 360° VR videos, and interactive presentations from design data. 

Twinmotion is compatible with almost every CAD software like - Rhino - Revit - SketchUp - Archicad - Vectorworks - 3ds Max - Cinema4D - Navisworks - BricsCAD - Solidworks - RIKCAD - CityEngine - FME - Forge - BIM360 and many more.

Follow us on social: 
Facebook | Twitter | LinkedIn: @Twinmotion
Instagram: @twinmotionofficial","Architecture and Planning","201-500 employees",,"Cary, North Carolina","United States","twinmotion.com","https://www.linkedin.com/company/twinmotion","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:39.586Z","NY Engineers","One of America’s fastest-growing companies NY Engineers is an engineering design firm with expertise in Mechanical, Electrical, Plumbing, Sprinkler Engineering, Fire Protection, Construction Administration, Value Engineering, Energy Modeling, Utility Filings, Building Commissioning, and BIM services.

NY Engineers has featured in Discovery Channel, ABC News, Fox News, Vanity Fair, The New York Times, The New York Post, Icons of Infrastructure, Managers Club as one of the leading professional services consulting firms. Awarded as 5000 fastest-growing private firm in America by Inc., NY engineers have successfully completed 2000+ nationwide projects until now.

NY Engineers search for simple, eloquent solutions to complex problems, they minimize construction costs by eliminating the extraneous and focusing on the overall efficiency for the most streamlined designs.","Architecture and Planning","51-200 employees","Privately Held","Miami, Florida","United States","ny-engineers.com","https://www.linkedin.com/company/ny-engineers","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:39.586Z","FivD","FivD is a technology-led design firm with offices in Dallas, New Delhi, and Mumbai. 
We identify, categorize, prioritize and bridge critical gaps in design and project management, empowering your vision across disciplines and geographies. Rooted in research and strengthened by technology, our processes are aimed at driving impact –– for stakeholders and the community.","Architecture and Planning","51-200 employees","Privately Held","Frisco, Texas","United States","fivd.io","https://www.linkedin.com/company/fivd","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:39.586Z","BASE4 - Architects, Engineers, Designers","BASE4 is a team of award-winning architects, engineers, and interior designers who live at the intersection of technological innovation and premier building design. Our goal has always been to harness the latest technologies, especially now as we usher in the paradigm shift into the fourth industrialization.

As AEC futurists, our goal is to integrate the internal efforts of our industry and- more importantly- work together to reinvigorate the antiquated construction industry. Our expertise in the industrialization of construction remains unparalleled as we excel in modular, offsite, and prefabrication design and implementation. 

We at BASE4 believe in a DESIGN SERVICE mindset—bringing standardization and manufacturing principles to an outdated system. With this approach, we optimize our design processes with automation, virtual reality design, and continual improvement of our collaborative systems. With strategically placed offices across the United States and in the Dominican Republic, the Republic of Georgia, and India to give us ongoing, 24-hour uninterrupted workdays.

BASE4 supports all AEC stakeholders--including developers, GCs, manufacturers, and others--in Strategy Consultation, Total Industrialized Construction Advisory (DfMA), Advanced BIM Consultation, Building Code Consultation, Value Engineering, Simulated Reality Extension, Data Restructuring, and Operational Standardization.","Architecture and Planning","201-500 employees","Privately Held","Boca Raton, Florida","United States","base-4.com","https://www.linkedin.com/company/base-4-international","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:39.586Z","WithersRavenel","WithersRavenel is an employee-owned (ESOP) multi-disciplined civil, environmental, and geomatics engineering firm with over 41 years of service in the Carolinas. WithersRavenel is located in Asheville, Cary, Charlotte, Greensboro, Raleigh, Southern Pines, Pittsboro, Powells Point, and Wilmington, NC. 

Our firm is comprised of more than 460 employee-owners who are dedicated to project success for public and private clients. Our staff includes Engineers, Land Surveyors, Landscape Architects, GIS Professionals, Wetland Biologists, CAD Technicians, Construction Administrators, and Geologists who are self-motivated professionals, committed to excellence in everything they do. 

Our People, Your Success","Civil Engineering","201-500 employees","Privately Held","Cary, NC","United States","withersravenel.com","https://www.linkedin.com/company/withersravenel","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:39.930Z","ADTEK Engineers","ADTEK Engineers, Inc. (ADTEK), founded in 1987, is a consulting firm with more than 50 design professionals firm-wide. ADTEK has offices in VA, MD, and MI, and specializes in offering broad-spectrum civil engineering, structural base building design, and specialty engineering services. ADTEK uses AutoCAD, AutoCAD Civil 3D and Revit Modeling software for the vast majority of design projects. Our design team embraces the application of sustainable design concepts, and we are committed to understanding the environmental consequences of our design and implementing conservation oriented technologies and materials. ADTEK has LEED AP professionals on staff, and has completed many LEED certified projects at Silver, Gold, and Platinum levels. ADTEK is a certified small business both by the Federal Small Business Administration, Maryland Department of Transportation and the Commonwealth of Virginia.","Civil Engineering","51-200 employees","Privately Held","Fairfax, VA","United States","adtekengineers.com","https://www.linkedin.com/company/adtek-engineers","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:39.930Z","slantis","We seek the finest solutions for all your architectural challenges. By developing a highly complex BIM model, we deliver outstanding Design, Construction Documents, assets for Fabrication and 3D printing systems, so you build the extraordinary!

Got a project in mind? Reach out!  slantis.com/contact","Architecture and Planning","51-200 employees","Privately Held","San Francisco, California","United States","slantis.com","https://www.linkedin.com/company/slantis","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:39.930Z","TELGE PROJECTS","TELGE PROJECTS PVT LTD.  specializes in creating ground-breaking 3D BIM Modelling and Detailing at all scales, from bridges to public buildings, offices, residences, exhibitions, products and urban masterplans. Throughout our years of international project experience, Telge Projects has expanded its capabilities through collaboration with an extended network of international consultants, partners and advisors. This network, combined with our centrally located office in Pune, India, enables us to work efficiently anywhere in the world. With over 1000 completed projects in Asia, Europe, Australia, Singapore and United States of America, the company continues to expand its global presence with recent commissions in the United Arab Emirates, Italy, Germany and the United Kingdom, among other countries.","Civil Engineering","51-200 employees","Privately Held","Tulsa, Oklahoma","United States","telgeprojects.com","https://www.linkedin.com/company/telge-projects-inc","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:39.930Z","CO Architects","Los Angeles-based CO Architects is nationally recognized for architectural planning, programming and design in the higher education, science & technology, civic and healthcare sectors, and works with leading institutions from coast to coast. In over 35 years of practice, CO Architects has led innovative and successful projects in 31 states, the UK and Canada. The firm's specialized expertise includes transformative projects for schools of medicine and the health professions, advanced research and teaching laboratories, leading-edge museums and civic landmarks, and innovative clinical facilities on higher education, healthcare and urban campuses. The firm has been nationally and internationally recognized with over 230 design awards and numerous published articles, speaker presentations and tours by organizations such as the AIA, World Architecture Festival, The Chicago Athenaeum: Museum of Architecture and Design, World Architecture News, The Architect's Newspaper, and the Society for College and University Planning.","Architecture and Planning","51-200 employees","Privately Held","Los Angeles, CA","United States","coarchitects.com","https://www.linkedin.com/company/co-architects","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:39.930Z","Corbis","We are project delivery specialists. Since 2002, our goal has been to remove barriers to smooth project delivery and streamline our clients' journey to ensure successful projects on time and within budget.

As our industry evolves, we strive to stay one step ahead, soothe concerns, and inspire optimism by providing speed, accuracy, and predictability throughout the project lifecycle.

We bring to each project a clear and detailed vision,
with a plan forward and a backup plan in our pocket.","Architecture and Planning","51-200 employees","Privately Held","El Segundo, California","United States","corbisstudio.com","https://www.linkedin.com/company/corbisstudio","People Search Updated","✅ Sent",,,,
